country,company,city,website,official_source,email,phone,specialization,international_focus,mira_priority,evidence_note,checked_at
Беларусь,Твоя столица,Минск,https://www.t-s.by/,https://www.t-s.by/,Unknown,Unknown,"жилые/коммерческие сделки, первичный и вторичный рынок",зарубежная недвижимость не подтверждена на официальном сайте,B,Официальный сайт описывает 29 лет работы и услуги по сегментам; размер/foreign focus требуют проверки,2026-09-15
Беларусь,Этажи (Минск),Минск,https://minsk.etagi.com/,https://etagy.by/,reklama@minsk.etagi.com,+375 (29) 643-37-32,"покупка, продажа, аренда, ипотека; жилые/нежилые",зарубежная недвижимость не подтверждена на локальном сайте,B,Официальный сайт и контакты офиса; foreign focus не зафиксирован,2026-09-15
Беларусь,Квадратный метр,Минск,https://m2.by/ru,https://m2.by/ru,Unknown,+375 33 399-55-99,"покупка, продажа, обмен; квартиры, дома, коммерция","на сайте есть выбор страны/города, но международная специализация не подтверждена",B,Официальный сайт и контакт опубликованы,2026-09-15
Беларусь,Центр международной недвижимости Моя 7Я,Минск,https://centr7a.by/,https://centr7a.by/,reklama.intl@centr7a.by,+375 44 519-61-96,покупка/продажа; инвестиционные и международные запросы,"Да, международная недвижимость заявлена официально; страны не указаны",A,Официальный сайт прямо называет центр международной недвижимости и работу с застройщиками,2026-09-15
Беларусь,Партнер для всех,Минск/Минская область,https://anpartner.by/,https://anpartner.by/,Unknown,Unknown,"купля, продажа, обмен, аренда",зарубежная недвижимость не подтверждена,C,Действующий сайт с описанием услуг; масштаб/foreign focus неизвестны,2026-09-15
Беларусь,7 этажей,Минск/Минская область,https://www.an7.by/,https://www.an7.by/,Unknown,Unknown,"первичный/вторичный рынок, коммерческая и загородная недвижимость",зарубежная недвижимость не подтверждена,B,Официальный сайт описывает полный спектр услуг и географию,2026-09-15
Беларусь,YG HOME,Минск,https://yghome.by/,https://yghome.by/,info@yghome.by,+375 (29) 325-75-75,операции с недвижимостью,зарубежная недвижимость не подтверждена,B,"Официальный сайт публикует офис, телефоны и e-mail",2026-09-15
Беларусь,Авангард Недвижимость,Минск/пригород,https://avangard-n.by/,https://avangard-n.by/agency/about-us/,Unknown,Unknown,"продажа, обмен, покупка жилой и коммерческой недвижимости",зарубежная недвижимость не подтверждена,B,Официальный сайт описывает действующее агентство и специализацию,2026-09-15
Беларусь,Гарант Недвижимость,Минск,https://garantiruem.by/,https://garantiruem.by/,Unknown,Unknown,"продажа, покупка, обмен, аренда; маркетинг и юр. сопровождение",зарубежная недвижимость не подтверждена,B,"Официальный сайт заявляет агентство, маркетинг и юридический отдел",2026-09-15
Беларусь,Твой Маёнтак,Минск/Минская область,https://tmaentak.by/,https://tmaentak.by/,Unknown,Unknown,"продажа, покупка и сопровождение сделок",зарубежная недвижимость не подтверждена,C,Официальный сайт действует и описывает услуги; масштаб неизвестен,2026-09-15
